COUNTY    , PRCTSEQ, PRECINCT                 , BALSEQID, JURISID, SECJURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                    , PARTY1     , PVTALLY1, COL2HDG, RNAME2                        , PARTY2      , PVTALLY2, COL3HDG, RNAME3                     , PARTY3      , PVTALLY3, COL4HDG, RNAME4                          , PARTY4     , PVTALLY4, COL5HDG, RNAME5                   , PARTY5     , PVTALLY5, COL6HDG, RNAME6            , PARTY6     , PVTALLY6, COL7HDG, RNAME7         , PARTY7     , PVTALLY7, COL8HDG, RNAME8                   , PARTY8     , PVTALLY8, COL9HDG, RNAME9                     , PARTY9     , PVTALLY9, COL10HDG, RNAME10                , PARTY10    , PVTALLY10
Anderson  ,    0002, Briceville               ,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam               , Republican ,      110,       2, "Charles V. ""Charlie"" Brown", Democratic  ,       20,       3, Shaun Crowell              , Constitution,        1,       4, Isa Infante                     , Green      ,        1,       5, Steven Damon Coburn      , Independent,        2,       6, John Jay Hooker   , Independent,        4,       7, Daniel T. Lewis, Independent,        0,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  ,    0002, Briceville               ,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                       ,            ,       99,       2, No                            ,             ,       43,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                       ,            ,       82,       2, No                            ,             ,       58,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                       ,            ,       96,       2, No                            ,             ,       38,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                       ,            ,       93,       2, No                            ,             ,       37,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0007,       0,          0,         1, United States Senate                             , 2014-11-04, State General,       1, Lamar Alexander           , Republican ,      101,       2, Gordon Ball                   , Democratic  ,       28,       3, Joe Wilmoth                , Constitution,        1,       4, Martin Pleasant                 , Green      ,        1,       5, "Tom Emerson, Jr."       , Independent,        1,       6, Edmund L. Gauthier, Independent,        0,       7, Joshua James   , Independent,        1,       8, Danny Page               , Independent,        0,       9, Bartholomew J. Phillips    , Independent,        2,       10, C. Salekin             , Independent,         0
Anderson  ,    0002, Briceville               ,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter            , Independent,        0,      12, Rick Tyler                    , Independent ,        2,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann         , Republican ,      105,       2, Mary M. Headrick              , Democratic  ,       24,       3, Cassandra J Mitchell       , Independent ,        8,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally             , Republican ,      121,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0002, Briceville               ,     0017,      33,          0,         0, Tennessee House of Representatives District 33   , 2014-11-04, State General,       1, John D. Ragan             , Republican ,      118,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam               , Republican ,      938,       2, "Charles V. ""Charlie"" Brown", Democratic  ,      156,       3, Shaun Crowell              , Constitution,       22,       4, Isa Infante                     , Green      ,        8,       5, Steven Damon Coburn      , Independent,        8,       6, John Jay Hooker   , Independent,       24,       7, Daniel T. Lewis, Independent,        6,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  ,    0003, Bull Run                 ,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                       ,            ,      705,       2, No                            ,             ,      482,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                       ,            ,      788,       2, No                            ,             ,      388,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                       ,            ,      864,       2, No                            ,             ,      285,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                       ,            ,      840,       2, No                            ,             ,      290,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0007,       0,          0,         1, United States Senate                             , 2014-11-04, State General,       1, Lamar Alexander           , Republican ,      844,       2, Gordon Ball                   , Democratic  ,      265,       3, Joe Wilmoth                , Constitution,       37,       4, Martin Pleasant                 , Green      ,        3,       5, "Tom Emerson, Jr."       , Independent,       10,       6, Edmund L. Gauthier, Independent,        3,       7, Joshua James   , Independent,       10,       8, Danny Page               , Independent,        2,       9, Bartholomew J. Phillips    , Independent,        3,       10, C. Salekin             , Independent,         0
Anderson  ,    0003, Bull Run                 ,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter            , Independent,        1,      12, Rick Tyler                    , Independent ,        6,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann         , Republican ,      858,       2, Mary M. Headrick              , Democratic  ,      280,       3, Cassandra J Mitchell       , Independent ,       45,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally             , Republican ,     1013,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0017,      33,          0,         0, Tennessee House of Representatives District 33   , 2014-11-04, State General,       1, John D. Ragan             , Republican ,     1001,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam               , Republican ,     1019,       2, "Charles V. ""Charlie"" Brown", Democratic  ,      196,       3, Shaun Crowell              , Constitution,       18,       4, Isa Infante                     , Green      ,       14,       5, Steven Damon Coburn      , Independent,        9,       6, John Jay Hooker   , Independent,       17,       7, Daniel T. Lewis, Independent,        6,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  ,    0004, Clinton                  ,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                       ,            ,      681,       2, No                            ,             ,      645,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                       ,            ,      878,       2, No                            ,             ,      426,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                       ,            ,      856,       2, No                            ,             ,      389,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                       ,            ,      895,       2, No                            ,             ,      303,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0007,       0,          0,         1, United States Senate                             , 2014-11-04, State General,       1, Lamar Alexander           , Republican ,      896,       2, Gordon Ball                   , Democratic  ,      347,       3, Joe Wilmoth                , Constitution,       25,       4, Martin Pleasant                 , Green      ,       11,       5, "Tom Emerson, Jr."       , Independent,        7,       6, Edmund L. Gauthier, Independent,        5,       7, Joshua James   , Independent,        7,       8, Danny Page               , Independent,        3,       9, Bartholomew J. Phillips    , Independent,        3,       10, C. Salekin             , Independent,         0
Anderson  ,    0004, Clinton                  ,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter            , Independent,        1,      12, Rick Tyler                    , Independent ,        2,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann         , Republican ,      872,       2, Mary M. Headrick              , Democratic  ,      392,       3, Cassandra J Mitchell       , Independent ,       37,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally             , Republican ,     1044,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0017,      33,          0,         0, Tennessee House of Representatives District 33   , 2014-11-04, State General,       1, John D. Ragan             , Republican ,      974,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam               , Republican ,      523,       2, "Charles V. ""Charlie"" Brown", Democratic  ,       96,       3, Shaun Crowell              , Constitution,       12,       4, Isa Infante                     , Green      ,        7,       5, Steven Damon Coburn      , Independent,        5,       6, John Jay Hooker   , Independent,       11,       7, Daniel T. Lewis, Independent,        5,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  ,    0005, Clinton High             ,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                       ,            ,      379,       2, No                            ,             ,      291,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                       ,            ,      462,       2, No                            ,             ,      204,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                       ,            ,      438,       2, No                            ,             ,      203,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                       ,            ,      472,       2, No                            ,             ,      139,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0007,       0,          0,         1, United States Senate                             , 2014-11-04, State General,       1, Lamar Alexander           , Republican ,      444,       2, Gordon Ball                   , Democratic  ,      173,       3, Joe Wilmoth                , Constitution,       14,       4, Martin Pleasant                 , Green      ,        3,       5, "Tom Emerson, Jr."       , Independent,       12,       6, Edmund L. Gauthier, Independent,        8,       7, Joshua James   , Independent,        1,       8, Danny Page               , Independent,        3,       9, Bartholomew J. Phillips    , Independent,        1,       10, C. Salekin             , Independent,         1
Anderson  ,    0005, Clinton High             ,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter            , Independent,        2,      12, Rick Tyler                    , Independent ,        2,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann         , Republican ,      460,       2, Mary M. Headrick              , Democratic  ,      182,       3, Cassandra J Mitchell       , Independent ,       17,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally             , Republican ,      551,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0017,      33,          0,         0, Tennessee House of Representatives District 33   , 2014-11-04, State General,       1, John D. Ragan             , Republican ,      520,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam               , Republican ,      748,       2, "Charles V. ""Charlie"" Brown", Democratic  ,      141,       3, Shaun Crowell              , Constitution,       16,       4, Isa Infante                     , Green      ,       12,       5, Steven Damon Coburn      , Independent,        5,       6, John Jay Hooker   , Independent,       24,       7, Daniel T. Lewis, Independent,        3,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  ,    0006, Claxton                  ,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                       ,            ,      579,       2, No                            ,             ,      382,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                       ,            ,      587,       2, No                            ,             ,      361,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                       ,            ,      628,       2, No                            ,             ,      290,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                       ,            ,      583,       2, No                            ,             ,      321,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0007,       0,          0,         1, United States Senate                             , 2014-11-04, State General,       1, Lamar Alexander           , Republican ,      677,       2, Gordon Ball                   , Democratic  ,      221,       3, Joe Wilmoth                , Constitution,       29,       4, Martin Pleasant                 , Green      ,        8,       5, "Tom Emerson, Jr."       , Independent,        7,       6, Edmund L. Gauthier, Independent,        2,       7, Joshua James   , Independent,        2,       8, Danny Page               , Independent,        2,       9, Bartholomew J. Phillips    , Independent,        3,       10, C. Salekin             , Independent,         0
Anderson  ,    0006, Claxton                  ,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter            , Independent,        1,      12, Rick Tyler                    , Independent ,        4,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann         , Republican ,      685,       2, Mary M. Headrick              , Democratic  ,      240,       3, Cassandra J Mitchell       , Independent ,       28,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally             , Republican ,      815,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
