COUNTY, PRECINCT, Prct Seq            , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE       , COL1, BNAME1                                 , TALLY1, COL2, BNAME2                    , TALLY2, COL3, BNAME3                     , TALLY3, COL4, BNAME4                                        , TALLY4, COL5, BNAME5                    , TALLY5, COL6, BNAME6                     , TALLY6, COL7, BNAME7                   , TALLY7, COL8, BNAME8           , TALLY8, COL9, BNAME9                , TALLY9, COL10, BNAME10, TALLY10
  0155,        5, 32-5 Antioch Middle , TH        ,       59,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Sherry Jones - (D)                     ,    370,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0156,        1, 33-1 The Tune House , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,     67,    2, John McCain - (R)         ,    204,    3, Chuck Baldwin - (I)        ,      0,    4, Bob Barr - (I)                                ,      0,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      0,     ,                       ,      0,      ,        ,       0
  0156,        2, 33-1 The Tune House , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,     59,    2, Lamar Alexander - (R)     ,    199,    3, Edward L. Buck - (I)       ,      2,    4, Christopher G. Fenner - (I)                   ,      1,    5, David Gatchell - (I)      ,      2,    6, Ed Lawhorn - (I)           ,      0,    7, Daniel Towers Lewis - (I),      1,    8, Chris Lugo - (I) ,      1,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0156,        3, 33-1 The Tune House , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    108,    2, Gerard Donovan - (R)      ,    151,    3, Jon Jackson - (I)          ,      3,    4, John P. Miglietta - (I)                       ,      3,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0156,        4, 33-1 The Tune House , TS        ,       20,        1, Tennessee Senate District                  , " ""November 4", " 2008""", General Election,    1, Joe M. Haynes - (D)                    ,     93,    2, David Hall - (R)          ,    166,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0157,        1, 33-2 New Antioch HS , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,   2995,    2, John McCain - (R)         ,   1506,    3, Chuck Baldwin - (I)        ,      9,    4, Bob Barr - (I)                                ,     12,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      5,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),     10,     ,                       ,      0,      ,        ,       0
  0157,        2, 33-2 New Antioch HS , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,   2284,    2, Lamar Alexander - (R)     ,   1827,    3, Edward L. Buck - (I)       ,     50,    4, Christopher G. Fenner - (I)                   ,     14,    5, David Gatchell - (I)      ,     16,    6, Ed Lawhorn - (I)           ,     11,    7, Daniel Towers Lewis - (I),     27,    8, Chris Lugo - (I) ,     25,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0157,        3, 33-2 New Antioch HS , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,   3101,    2, Gerard Donovan - (R)      ,   1090,    3, Jon Jackson - (I)          ,     69,    4, John P. Miglietta - (I)                       ,     38,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0157,        4, 33-2 New Antioch HS , TS        ,       20,        1, Tennessee Senate District                  , " ""November 4", " 2008""", General Election,    1, Joe M. Haynes - (D)                    ,   2785,    2, David Hall - (R)          ,   1468,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0157,        5, 33-2 New Antioch HS , TH        ,       53,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Janis Baird Sontany - (D)              ,    259,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0158,        1, 33-3 SE Library     , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    562,    2, John McCain - (R)         ,    180,    3, Chuck Baldwin - (I)        ,      5,    4, Bob Barr - (I)                                ,      3,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      1,     ,                       ,      0,      ,        ,       0
  0158,        2, 33-3 SE Library     , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    424,    2, Lamar Alexander - (R)     ,    231,    3, Edward L. Buck - (I)       ,     12,    4, Christopher G. Fenner - (I)                   ,      4,    5, David Gatchell - (I)      ,      1,    6, Ed Lawhorn - (I)           ,      4,    7, Daniel Towers Lewis - (I),      8,    8, Chris Lugo - (I) ,      4,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0158,        3, 33-3 SE Library     , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    535,    2, Gerard Donovan - (R)      ,    138,    3, Jon Jackson - (I)          ,     11,    4, John P. Miglietta - (I)                       ,      7,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0158,        5, 33-3 SE Library     , TH        ,       59,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Sherry Jones - (D)                     ,    574,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0159,        1, 33-4 Hickory Hollow , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,   2157,    2, John McCain - (R)         ,    502,    3, Chuck Baldwin - (I)        ,      3,    4, Bob Barr - (I)                                ,      7,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      4,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),     10,     ,                       ,      0,      ,        ,       0
  0159,        2, 33-4 Hickory Hollow , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,   1633,    2, Lamar Alexander - (R)     ,    719,    3, Edward L. Buck - (I)       ,     29,    4, Christopher G. Fenner - (I)                   ,      6,    5, David Gatchell - (I)      ,      7,    6, Ed Lawhorn - (I)           ,     10,    7, Daniel Towers Lewis - (I),      7,    8, Chris Lugo - (I) ,     12,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0159,        3, 33-4 Hickory Hollow , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,   2044,    2, Gerard Donovan - (R)      ,    359,    3, Jon Jackson - (I)          ,     40,    4, John P. Miglietta - (I)                       ,     31,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0159,        5, 33-4 Hickory Hollow , TH        ,       59,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Sherry Jones - (D)                     ,   2037,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0160,        1, 34-1 Julia Green ES , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,   1364,    2, John McCain - (R)         ,   1847,    3, Chuck Baldwin - (I)        ,      0,    4, Bob Barr - (I)                                ,     11,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      7,     ,                       ,      0,      ,        ,       0
  0160,        2, 34-1 Julia Green ES , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    957,    2, Lamar Alexander - (R)     ,   2118,    3, Edward L. Buck - (I)       ,     18,    4, Christopher G. Fenner - (I)                   ,      7,    5, David Gatchell - (I)      ,      5,    6, Ed Lawhorn - (I)           ,      5,    7, Daniel Towers Lewis - (I),      6,    8, Chris Lugo - (I) ,      6,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0160,        3, 34-1 Julia Green ES , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,   1881,    2, Gerard Donovan - (R)      ,   1109,    3, Jon Jackson - (I)          ,     29,    4, John P. Miglietta - (I)                       ,     18,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0160,        5, 34-1 Julia Green ES , TH        ,       56,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Beth Harwell - (R)                     ,   2289,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0161,        1, 34-2 Hillsboro Pres , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    482,    2, John McCain - (R)         ,    857,    3, Chuck Baldwin - (I)        ,      0,    4, Bob Barr - (I)                                ,      3,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      2,     ,                       ,      0,      ,        ,       0
  0161,        2, 34-2 Hillsboro Pres , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    328,    2, Lamar Alexander - (R)     ,    958,    3, Edward L. Buck - (I)       ,     11,    4, Christopher G. Fenner - (I)                   ,      2,    5, David Gatchell - (I)      ,      0,    6, Ed Lawhorn - (I)           ,      1,    7, Daniel Towers Lewis - (I),      4,    8, Chris Lugo - (I) ,      4,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0161,        3, 34-2 Hillsboro Pres , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    707,    2, Gerard Donovan - (R)      ,    533,    3, Jon Jackson - (I)          ,     19,    4, John P. Miglietta - (I)                       ,      4,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0161,        5, 34-2 Hillsboro Pres , TH        ,       56,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Beth Harwell - (R)                     ,   1018,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0162,        1, 34-3 Percy Prst Sch , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    859,    2, John McCain - (R)         ,   1365,    3, Chuck Baldwin - (I)        ,      2,    4, Bob Barr - (I)                                ,      4,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      5,     ,                       ,      0,      ,        ,       0
  0162,        2, 34-3 Percy Prst Sch , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    580,    2, Lamar Alexander - (R)     ,   1557,    3, Edward L. Buck - (I)       ,     13,    4, Christopher G. Fenner - (I)                   ,      7,    5, David Gatchell - (I)      ,      1,    6, Ed Lawhorn - (I)           ,      4,    7, Daniel Towers Lewis - (I),      4,    8, Chris Lugo - (I) ,      6,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0162,        3, 34-3 Percy Prst Sch , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,     32,    2, Gerard Donovan - (R)      ,     25,    3, Jon Jackson - (I)          ,      1,    4, John P. Miglietta - (I)                       ,      0,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0162,        3, 34-3 Percy Prst Sch , USH       ,        7,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Randy G. Morris - (D)                  ,    684,    2, Marsha Blackburn - (R)    ,   1386,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0162,        5, 34-3 Percy Prst Sch , TH        ,       56,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Beth Harwell - (R)                     ,   1702,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0163,        1, 34-4 John Trotwood  , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    209,    2, John McCain - (R)         ,    290,    3, Chuck Baldwin - (I)        ,      2,    4, Bob Barr - (I)                                ,      1,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      3,     ,                       ,      0,      ,        ,       0
  0163,        2, 34-4 John Trotwood  , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    159,    2, Lamar Alexander - (R)     ,    323,    3, Edward L. Buck - (I)       ,      8,    4, Christopher G. Fenner - (I)                   ,      0,    5, David Gatchell - (I)      ,      1,    6, Ed Lawhorn - (I)           ,      0,    7, Daniel Towers Lewis - (I),      2,    8, Chris Lugo - (I) ,      3,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0163,        3, 34-4 John Trotwood  , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    275,    2, Gerard Donovan - (R)      ,    189,    3, Jon Jackson - (I)          ,     10,    4, John P. Miglietta - (I)                       ,      6,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0163,        5, 34-4 John Trotwood  , TH        ,       52,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Mike Stewart - (D)                     ,    206,    2, Dan Scott - (I)           ,    141,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0163,        5, 34-4 John Trotwood  , TH        ,       56,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Beth Harwell - (R)                     ,     63,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0164,        1, 34-5 Brentwood Hills, PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    742,    2, John McCain - (R)         ,   1374,    3, Chuck Baldwin - (I)        ,      4,    4, Bob Barr - (I)                                ,      7,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      8,     ,                       ,      0,      ,        ,       0
  0164,        2, 34-5 Brentwood Hills, USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    512,    2, Lamar Alexander - (R)     ,   1526,    3, Edward L. Buck - (I)       ,     14,    4, Christopher G. Fenner - (I)                   ,      4,    5, David Gatchell - (I)      ,      6,    6, Ed Lawhorn - (I)           ,      0,    7, Daniel Towers Lewis - (I),      9,    8, Chris Lugo - (I) ,      8,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0164,        3, 34-5 Brentwood Hills, USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    103,    2, Gerard Donovan - (R)      ,     59,    3, Jon Jackson - (I)          ,      0,    4, John P. Miglietta - (I)                       ,      1,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0164,        3, 34-5 Brentwood Hills, USH       ,        7,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Randy G. Morris - (D)                  ,    552,    2, Marsha Blackburn - (R)    ,   1317,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0164,        5, 34-5 Brentwood Hills, TH        ,       53,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Janis Baird Sontany - (D)              ,     63,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0164,        5, 34-5 Brentwood Hills, TH        ,       56,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Beth Harwell - (R)                     ,   1563,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0165,        1, 34-8 Glendale UMC   , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    358,    2, John McCain - (R)         ,    527,    3, Chuck Baldwin - (I)        ,      1,    4, Bob Barr - (I)                                ,      6,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      0,     ,                       ,      0,      ,        ,       0
  0165,        2, 34-8 Glendale UMC   , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    250,    2, Lamar Alexander - (R)     ,    593,    3, Edward L. Buck - (I)       ,      9,    4, Christopher G. Fenner - (I)                   ,      1,    5, David Gatchell - (I)      ,      2,    6, Ed Lawhorn - (I)           ,      2,    7, Daniel Towers Lewis - (I),      5,    8, Chris Lugo - (I) ,      2,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0165,        3, 34-8 Glendale UMC   , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    484,    2, Gerard Donovan - (R)      ,    347,    3, Jon Jackson - (I)          ,     17,    4, John P. Miglietta - (I)                       ,      4,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0165,        5, 34-8 Glendale UMC   , TH        ,       52,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Mike Stewart - (D)                     ,    296,    2, Dan Scott - (I)           ,    215,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0165,        5, 34-8 Glendale UMC   , TH        ,       53,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Janis Baird Sontany - (D)              ,    155,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0166,        1, 34-9 Ch of Redeemer , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    156,    2, John McCain - (R)         ,    117,    3, Chuck Baldwin - (I)        ,      1,    4, Bob Barr - (I)                                ,      0,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      3,     ,                       ,      0,      ,        ,       0
  0166,        2, 34-9 Ch of Redeemer , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    110,    2, Lamar Alexander - (R)     ,    148,    3, Edward L. Buck - (I)       ,      2,    4, Christopher G. Fenner - (I)                   ,      1,    5, David Gatchell - (I)      ,      0,    6, Ed Lawhorn - (I)           ,      0,    7, Daniel Towers Lewis - (I),      3,    8, Chris Lugo - (I) ,      5,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0166,        3, 34-9 Ch of Redeemer , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    174,    2, Gerard Donovan - (R)      ,     79,    3, Jon Jackson - (I)          ,      2,    4, John P. Miglietta - (I)                       ,      6,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0166,        5, 34-9 Ch of Redeemer , TH        ,       52,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Mike Stewart - (D)                     ,    157,    2, Dan Scott - (I)           ,     74,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0167,        1, 34-10 Forest Hills  , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    129,    2, John McCain - (R)         ,    313,    3, Chuck Baldwin - (I)        ,      0,    4, Bob Barr - (I)                                ,      1,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      2,     ,                       ,      0,      ,        ,       0
  0167,        2, 34-10 Forest Hills  , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,     78,    2, Lamar Alexander - (R)     ,    343,    3, Edward L. Buck - (I)       ,      2,    4, Christopher G. Fenner - (I)                   ,      1,    5, David Gatchell - (I)      ,      0,    6, Ed Lawhorn - (I)           ,      1,    7, Daniel Towers Lewis - (I),      2,    8, Chris Lugo - (I) ,      3,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0167,        3, 34-10 Forest Hills  , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,    150,    2, Gerard Donovan - (R)      ,    180,    3, Jon Jackson - (I)          ,      5,    4, John P. Miglietta - (I)                       ,      4,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0167,        3, 34-10 Forest Hills  , USH       ,        7,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Randy G. Morris - (D)                  ,     25,    2, Marsha Blackburn - (R)    ,     60,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0167,        5, 34-10 Forest Hills  , TH        ,       56,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Beth Harwell - (R)                     ,    358,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0168,        1, 35-1 Gower School   , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,   1017,    2, John McCain - (R)         ,   1529,    3, Chuck Baldwin - (I)        ,      4,    4, Bob Barr - (I)                                ,     20,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),     19,     ,                       ,      0,      ,        ,       0
  0168,        2, 35-1 Gower School   , USS       ,         ,        1, United States Senate                       , " ""November 4", " 2008""", General Election,    1, Robert D. Tuke - (D)                   ,    773,    2, Lamar Alexander - (R)     ,   1596,    3, Edward L. Buck - (I)       ,     40,    4, Christopher G. Fenner - (I)                   ,     12,    5, David Gatchell - (I)      ,      9,    6, Ed Lawhorn - (I)           ,      5,    7, Daniel Towers Lewis - (I),     11,    8, Chris Lugo - (I) ,     17,    9, Write-In - Casey Gouge,      0,      ,        ,       0
  0168,        3, 35-1 Gower School   , USH       ,        5,        1, U.S. House of Representatives District     , " ""November 4", " 2008""", General Election,    1, Jim Cooper - (D)                       ,   1265,    2, Gerard Donovan - (R)      ,   1085,    3, Jon Jackson - (I)          ,     46,    4, John P. Miglietta - (I)                       ,     38,    5, Write-In - Kelly A. Truman,      0,    6, Write-In - Thomas F. Kovach,      0,    7, Write-In - Wilson Hubbell,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0168,        5, 35-1 Gower School   , TH        ,       50,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Gary W. Moore - (D)                    ,   1429,     ,                           ,      0,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0168,        5, 35-1 Gower School   , TH        ,       55,        1, Tennessee House of Representatives District, " ""November 4", " 2008""", General Election,    1, Gary Odom - (D)                        ,    160,    2, Timothy Lee - (R)         ,    109,     ,                            ,      0,     ,                                               ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
  0169,        1, 35-2 South Harpeth  , PRES      ,         ,        1, United States President                    , " ""November 4", " 2008""", General Election,    1, Barack Obama - (D)                     ,    198,    2, John McCain - (R)         ,    321,    3, Chuck Baldwin - (I)        ,      0,    4, Bob Barr - (I)                                ,      3,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      3,     ,                       ,      0,      ,        ,       0
